DNA_ID,Description,Name for heatmap
A0050,anti-human CD19,CD19
A0100,anti-human CD20,CD20
A0154,anti-human CD27,CD27
A0389,anti-human CD38,CD38
A0160,anti-human CD1c,CD1c
A0163,anti-human CD141 (Thrombomodulin),CD141
A0064,anti-human CD123,CD123
A0081,anti-human CD14,CD14
A0822,anti-human CD142,CD142
A0371,anti-human CD49b,CD49b
A0070,anti-human/mouse CD49f,CD49f
A0029,anti-human CD48,CD48
A0404,anti-human CD63,CD63
A0352,anti-human FcεRIα,FcεRIα
A0868,anti-human IgE,IgE
A0063,anti-human CD45RA,CD45RA
A0006,anti-human CD86,CD86
A0161,anti-human CD11b,CD11b
A0853,anti-human CLEC12A,CLEC12A
A0383,anti-human CD55,CD55
A0167,anti-human CD35,CD35
A0159,anti-human HLA-DR,HLA-DR
