Cluster,Annotation,Broad
0,alveolar macs,Macrophages
1,macro-lipid,Macrophages
2,alveolar macs,Macrophages
3,macro-ifna/b,Macrophages
4,alveolar macs,Macrophages
5,alveolar macs,Macrophages
6,alveolar macs,Macrophages
7,macro-int,Macrophages
8,macro-ifna/b,Macrophages
9,macro-int,Macrophages
10,alveolar macs,Macrophages
11,macro-ifna/b,Macrophages
12,macro-CCL,Macrophages
13,macro-int,Macrophages
14,macro-viral,Macrophages
15,macro-MT,Macrophages
16,macro-repair,Macrophages
17,proliferating macrophages,Proliferating macrophages
18,macro-cholesterol,Macrophages
19,proliferating macrophages,Proliferating macrophages
20,proliferating macrophages,Proliferating macrophages
21,macro-reg,Macrophages
22,macro-interstitial,Macrophages
