"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ALPL",4.31943211105846,2.39797163854384,9.05956082835524,3.49683453240739e-16,3.99653218708841e-12
"IGHG4",6.25990095448211,2.60947561869294,8.53930276752078,7.35986295064899e-15,4.20579368314837e-11
"PKHD1L1",4.14483934417511,2.27996864009256,7.89718582450884,2.91344426555528e-13,1.10992515036771e-09
"IGHD",4.28834366925121,2.7741443871577,7.1802982957606,1.54908235072607e-11,4.42611554661207e-08
"LARGE1",3.8452614528445,2.79362148275009,6.98121507920215,4.53415467954966e-11,1.03641707665146e-07
"ACY3",4.40355971967674,2.60213950584533,6.9023623078452,6.91134576804513e-11,1.23949346159141e-07
"IGHM",4.30697497781429,4.1414732265657,6.88473883295779,7.59161276676861e-11,1.23949346159141e-07
"UTS2",4.55523173443113,2.71350118821956,6.57947018454783,3.78923273162566e-10,5.4133926112187e-07
"FCRL4",4.19926962812721,2.57587052039664,6.53863408257941,4.68500039882009e-10,5.94942995090164e-07
"TNFRSF17",3.64381465131621,2.54268773273054,6.51724762909297,5.23422799206948e-10,5.98219917213621e-07
"HIST1H2BJ",3.64515680472505,2.61114959432086,6.24079189980347,2.15777411397358e-09,2.24192730441855e-06
"JCHAIN",4.18932564542203,3.56998706084839,5.98332583442616,7.83301048040217e-09,7.4602897317097e-06
"SCNN1B",3.19877451594122,2.3495560446827,5.8540248792449,1.47912381005005e-08,1.30037738654323e-05
"TTC24",4.21298773011734,2.61074102061126,5.58838007342479,5.32741153545695e-08,4.10989965645258e-05
"UGT8",3.07437289450818,2.49476173613069,5.58567084324096,5.39404102255567e-08,4.10989965645258e-05
"FCRLA",3.37433942633488,2.61968309878141,5.51147650534499,7.66511459734513e-08,5.47528717081609e-05
"C12orf42",3.87379949001174,2.46728158690002,5.43948454450239,1.07522188435972e-07,7.22865348020426e-05
"RHEX",4.06183912373575,2.61249313630266,5.38941333671319,1.35847730593436e-07,8.62557618306875e-05
"LINC02362",3.51539688922848,2.78611477795531,5.28479755373724,2.20297432686003e-07,0.000132514703061491
"CRY1",-4.57203139960417,4.41913856474198,-5.26174353127497,2.45283263951329e-07,0.000140167121184987
"SDC1",3.426729170876,2.59303096536544,5.24612000842408,2.63044868009905e-07,0.000142951805091372
