"","logFC","AveExpr","t","P.Value","adj.P.Val"
"SPRR3",6.78833199104049,2.33570666354873,13.2273070983797,3.44396652215222e-27,3.93610933816777e-23
"TMPRSS11B",5.69417440683482,2.21541016405634,12.7458275390408,6.55020540960893e-26,3.74311488132102e-22
"SPRR1B",3.96706613653324,2.16090209686614,8.58076979225995,5.78368869668029e-15,2.20339260381197e-11
"STC1",-4.6381057947578,2.1762134400089,-7.87295025609412,3.34059635874408e-13,9.54491894602154e-10
"CYGB",-6.2482833564976,2.82396554574323,-7.41926870058421,4.19535884751498e-12,9.58975125364974e-09
"CALB2",-4.15067426952026,2.14606588839751,-6.94059495180836,5.63534835091155e-11,1.07343993837614e-07
"UGT2A1",3.02930110154029,2.31380636035681,6.76879798773126,1.40383539323876e-10,2.29206210133226e-07
"ECM1",4.37107234634408,2.98012708517286,6.27900385152999,1.77780125967884e-09,2.53981132460869e-06
"CLMP",-4.21763685018698,2.30093546777818,-6.07562582023944,4.95125965492533e-09,6.28754962179351e-06
"EMCN",-3.68765660439485,2.13734552944884,-6.04191543131338,5.85613688413035e-09,6.4885631277695e-06
"KRT78",4.3095304007858,2.24813900483432,6.0290238320564,6.24500782268479e-09,6.4885631277695e-06
"C1QTNF1",-3.93531822502221,2.20737086144208,-5.99543419558472,7.376526602977e-09,7.02552687878534e-06
"COL4A1",-3.93157393822232,2.14723767315727,-5.8474822218108,1.52735340175131e-08,1.34277861758582e-05
"AARD",-3.88743452582943,2.22052215405622,-5.70180483166359,3.0953203539185e-08,2.52688688035246e-05
"SLC5A8",2.83760104449452,2.32595770351066,5.56472133673381,5.9582567575497e-08,4.3476316312266e-05
"MSMB",4.29345212747196,2.87905009091431,5.55336650256636,6.29150190094102e-08,4.3476316312266e-05
"TMEM233",-3.75764422002544,2.25581712777582,-5.54747153204599,6.46685954421666e-08,4.3476316312266e-05
"SOX18",-3.68921316793242,2.13156781751571,-5.52506271869329,7.18965815917207e-08,4.56503350562098e-05
"FAM110D",-3.78812970509668,2.23432231859227,-5.39787736733435,1.30566468984792e-07,7.85391670540625e-05
"PCDHGA11",-3.60898895428598,2.15372505555833,-5.20635879672959,3.15428924130737e-07,0.00018025185869451
"CLEC14A",-3.72711396719207,2.3047454712433,-5.1695837564965,3.728381370445e-07,0.000202912717537218
"C7",-3.45560713315197,2.12329060137517,-5.15304331883144,4.01760884215645e-07,0.000208714779350028
"MMRN1",-3.9677528826547,2.23506816666329,-5.10827598304016,4.91968871445565e-07,0.000244465749206581
"CABP4",-4.14774894763578,3.20544880466591,-5.02510350526248,7.14245824811556e-07,0.000340129813823803
"GREM1",-3.74609339931324,2.50786319575096,-4.93929941849116,1.04364164238351e-06,0.000477111213232045
"SMAD9",-3.85990445985223,2.23020947234461,-4.86474987245897,1.44728437065476e-06,0.00063619281046974
"EDN1",-4.20108380817214,2.60550003757281,-4.84270919959435,1.59475710914683e-06,0.000675054777794039
"ADGRL4",-3.46003585055764,2.10621264827604,-4.82911169615531,1.68885898133625e-06,0.000689356046346144
"RAMP3",-3.45749302027513,2.11602193857914,-4.80408132417358,1.8822761769132e-06,0.000741811531928998
"KDM4A-AS1",-4.80220472924705,3.13166811699029,-4.78916199619432,2.0183487486121e-06,0.000768923594929589
"SPDYE5",-3.72075918428414,2.40577728708395,-4.76665789989293,2.2130512020532e-06,0.000810739742050098
"RASAL2-AS1",-3.63759742642321,2.72661581313304,-4.76071262759296,2.26998615325953e-06,0.000810739742050098
"MEOX1",-3.58390856824561,2.26039053007475,-4.74949956479542,2.38177520923116e-06,0.000824888147463725
"RAD54L",-3.88183677692232,2.83925908065278,-4.72469354944283,2.65084562041007e-06,0.00089107395869608
"ACKR1",-3.44642091245124,2.15845304263103,-4.67838878672087,3.22630226965439e-06,0.00105352596113943
"GAREM2",-3.84696744729891,2.53907629994053,-4.6033231217475,4.4358601399506e-06,0.0014082623760971
"PCDH12",-3.57199020130379,2.31074802961173,-4.59623857243224,4.56613050652415e-06,0.00141044069078553
"PI3",2.93305837606455,2.36032916014471,4.58584152171401,4.7655846299261e-06,0.0014333122825112
"CD300LG",-3.43521349700242,2.20096633244633,-4.53694801688722,5.8491268390813e-06,0.00171409411907334
"FLRT2",-3.401292965937,2.34380517587549,-4.5304669974107,6.00858792985463e-06,0.00171680378625771
"COL15A1",-3.78197851812768,2.81567278531681,-4.50839869600615,6.59279059842391e-06,0.00181405983502679
"CXCL12",-3.44900015627652,2.14862479373958,-4.49869432406769,6.85605085561924e-06,0.00181405983502679
"CAV1",-4.66213270043833,2.54827093546772,-4.49894726210402,6.89793863511068e-06,0.00181405983502679
"IL12RB1",-4.29388750420511,4.9676124412165,-4.49519534252537,6.98386846978552e-06,0.00181405983502679
"ARHGEF15",-3.44584242820547,2.16065608197769,-4.45936785168527,8.06424703888584e-06,0.00190731951849921
"SYN2",-3.84722860083643,2.45210594377006,-4.45745140869141,8.14003688091328e-06,0.00190731951849921
"CLSPN",-4.88101727240564,4.19988510937907,-4.45808394759419,8.1893729936799e-06,0.00190731951849921
"RDH16",-3.88177153355934,2.33380351939675,-4.45513059726165,8.21957334057487e-06,0.00190731951849921
"CDK15",-3.45173600301358,2.13818956884013,-4.44773147962909,8.45957962290002e-06,0.00190731951849921
"GINS1",-4.0355903684795,3.27113260859754,-4.44714528304762,8.50139176557857e-06,0.00190731951849921
"NGFR",-3.73127850352277,2.28253664096068,-4.44648648935698,8.5110941852708e-06,0.00190731951849921
"CNGA3",-3.38412292595917,2.17176202138421,-4.42450969406651,9.30307269475222e-06,0.00204470803516006
"CRHBP",-3.3967591970785,2.36737318241417,-4.41909167308773,9.51190275766166e-06,0.00205116106825123
"ITGA2B",-3.5962208377195,2.20308306932557,-4.41142582157387,9.82081326073568e-06,0.00207855693994348
"HIST1H4F",-3.62996027722861,2.19231546057411,-4.40007594546029,1.02879367579755e-05,0.00213783325830731
"HOXA10",-3.78546184117031,2.62817481633998,-4.3838947634875,1.09968862206109e-05,0.00224434665384574
"MUC5AC",3.05256116232524,2.54425956808459,4.3767890661477,1.12941018758025e-05,0.00226456649716749
"ADAM11",-3.4314189972987,2.21523825659327,-4.36503902109234,1.18554485357705e-05,0.00230503618249833
"ST8SIA6",-3.93890491970514,2.34161395749931,-4.36471030171563,1.18993030682826e-05,0.00230503618249833
"LINC01781",-3.65878364052703,2.24588152874319,-4.35231908047132,1.24934118152889e-05,0.00237978672728228
