"","logFC","AveExpr","t","P.Value","adj.P.Val"
"UTS2",5.86200681986667,2.71350118821956,13.9517141744495,4.17798593023282e-29,4.77502011966309e-25
"CEACAM6",3.63185707876324,2.44574904923886,11.0797564958598,1.78565488549298e-21,1.02041248431497e-17
"UGT2A1",2.82100204232308,2.31380636035681,10.2916528690443,2.17269886360662e-19,8.27725843738668e-16
"TSPAN8",3.7882741602005,2.49205581468783,8.56276056494463,6.42173123156326e-15,1.83484915613841e-11
"TEKT4",3.35887397067793,2.76180868060251,8.51756479870487,8.34782945988686e-15,1.90814685794094e-11
"GCNT4",3.19856278337333,2.42003590120752,8.3269253402478,2.5115854614347e-14,4.78415170645621e-11
"IGHA2",4.40595759571786,2.64287375296235,8.12611768792713,7.94067320885616e-14,1.29648505862881e-10
"SLC5A8",2.75741069581552,2.32595770351066,7.93465388030086,2.35731983346635e-13,3.36772604708586e-10
"IGHG4",5.40916324391884,2.60947561869294,7.79266982320359,5.25003974412292e-13,6.66696713728676e-10
"CYP2F1",3.4520802831905,2.50201227548708,7.66235275064736,1.08914890629822e-12,1.24478828500823e-09
"FRMPD2",3.57661756682352,2.62473971867622,7.52978681610042,2.27670094351221e-12,2.36549228030919e-09
"RBMS3",-5.98693060901882,2.70950740636847,-6.88167827786831,7.72352517122746e-11,7.35601409849655e-08
"GABRP",2.33010011584436,2.42564335769041,6.77292881828746,1.37353936743173e-10,1.20755241772132e-07
"CXCL6",3.00093856624536,2.45752919546957,6.67172899778466,2.33961120275939e-10,1.90995831688122e-07
"KDR",-3.0311576932058,2.25432349945191,-6.56290757583666,4.12970744113537e-10,3.14656175631574e-07
"SNCG",-3.31888010085756,2.20771110226625,-6.46358258451506,6.90798002042389e-10,4.93445647833904e-07
"SPRR3",2.89199938042921,2.33570666354873,6.10262128523421,4.32574250885649e-09,2.90817124316005e-06
"CCL15",-4.47727719704431,2.93057503160716,-5.95837491509767,8.86274558296903e-09,5.62735107043072e-06
"PTP4A1",7.38082349901564,3.98659404191381,5.79823921799926,1.96871799518921e-08,1.1842356824746e-05
"TSPOAP1",3.32777463600748,3.8844505653314,5.71415371180519,2.91620271806446e-08,1.66646404323793e-05
"PTPRG",-2.56948797679773,2.25296126119244,-5.6494150110309,3.97962002381363e-08,2.16586082153171e-05
"ZNF667",2.66111520354016,3.12531798921348,5.55527197324183,6.23125753101149e-08,3.23713828736047e-05
"AGAP6",4.94809854165704,3.07565397602726,5.48215099972577,8.81835782908196e-08,4.38195702732947e-05
"SPARCL1",-2.88591723359862,2.32219190229299,-5.42003461258445,1.17721434432098e-07,5.60599280885188e-05
"EHD2",-2.61535593244578,2.21272479751051,-5.34000643220487,1.70757329511897e-07,7.8063420759659e-05
"LYPD2",3.33878748244789,2.50506904480163,5.28045211507211,2.24725616737655e-07,9.87841951421023e-05
"EFNB3",-2.48294761379893,2.26217620998059,-5.21800856512024,2.99047840625383e-07,0.000126089256330872
"SCNN1B",2.26128122935676,2.3495560446827,5.21089188241125,3.08907093994612e-07,0.000126089256330872
"IGHM",4.19108987246578,4.1414732265657,5.187601874566,3.43789481178088e-07,0.000135488620013254
"LAMA3",-3.5530213406354,2.45579716717591,-5.17514555857078,3.63499160602366e-07,0.000138481063550815
"BICDL2",2.17893687842523,2.51702438602105,5.15059961748374,4.06154496115823e-07,0.000146872124321993
"CCDC148",-3.38128278217107,2.45812605640648,-5.14788638750298,4.11226527106814e-07,0.000146872124321993
"GALNT15",-3.25389991531172,2.18973924249502,-5.13331437957703,4.3918537285623e-07,0.000152104534132541
"HOXA9",-4.60646701138663,2.52626885808467,-5.05552050283676,6.24507398822921e-07,0.000209926325327858
"GBP3",-2.64180561722214,5.73325743849961,-4.99365497438244,8.20275756967057e-07,0.000267855189325043
"FAM110D",-2.56475346574623,2.23432231859227,-4.95673321045266,9.6580426666123e-07,0.000306616026768644
"PPP1R14C",2.06666673579393,2.88798247124502,4.93125504090868,1.08052153948298e-06,0.000333764342560838
"FBN1",-3.01191481607336,3.18450282288073,-4.88664761564824,1.31407140196087e-06,0.000395224264552914
"PDGFD",-3.33584037445385,3.80781239414161,-4.87322809210092,1.39365290599592e-06,0.000408411770836599
"NGFR",-3.3825985333612,2.28253664096068,-4.85799595964469,1.48942402743458e-06,0.000422043706613641
"COBL",-3.51682157653655,2.51066851820558,-4.8542680278036,1.51402502153813e-06,0.000422043706613641
"COL4A1",-2.66711918001064,2.14723767315727,-4.72324968859387,2.66337532882755e-06,0.00072475515793262
"NUPR2",-2.25380649129786,2.23988865256103,-4.67572095240987,3.26115509878278e-06,0.000834909643636219
