N,DE,P.DE,FDR
259,8,5.884000079644777e-7,0.0025701734696039805
348,9,8.336598993201364e-7,0.0025701734696039805
521,10,2.77015266424173e-6,0.004927857433629082
1066,13,4.448425368862911e-6,0.004927857433629082
1949,18,4.610311044312776e-6,0.004927857433629082
1371,15,4.795190496557653e-6,0.004927857433629082
834,11,2.1631840970454854e-5,0.016672741427978078
834,11,2.1631840970454854e-5,0.016672741427978078
837,11,2.8034772469724314e-5,0.01920693411648001
219,6,3.8335127702876775e-5,0.02363743974159382
1273,13,5.652492539780947e-5,0.031684790000263016
1113,12,6.412086104083838e-5,0.032947435764817457
243,6,8.085955804636146e-5,0.0383523103779896
835,10,1.1798220338560046e-4,0.050295110868773134
88,4,1.2235268618741437e-4,0.050295110868773134
409,7,1.7418361173849662e-4,0.06475577849751443
178,5,1.7853523101812283e-4,0.06475577849751443
41,3,2.502099962952307e-4,0.08571082428646624
46,3,2.899035637698163e-4,0.09408133548445723
1802,14,5.130159656458989e-4,0.1472694931497956
1452,12,5.237815797200304e-4,0.1472694931497956
1175,11,5.254506729314796e-4,0.1472694931497956
499,7,5.819988928114197e-4,0.15602631187283536
670,8,6.216240106108052e-4,0.1596159375472956
13,2,6.81518453769302e-4,0.1596159375472956
60,3,7.248226885356439e-4,0.1596159375472956
141,4,7.426806024529991e-4,0.1596159375472956
63,3,7.611632845620616e-4,0.1596159375472956
1644,13,7.735434935175047e-4,0.1596159375472956
684,8,7.765939225460376e-4,0.1596159375472956
1895,14,8.068538954897201e-4,0.15978126983265445
15,2,8.292248839839348e-4,0.15978126983265445
891,9,9.236633609971368e-4,0.16937001843727884
1275,11,9.339248502866495e-4,0.16937001843727884
560,7,9.79862834320472e-4,0.17262383532628658
17,2,0.001046315255952856,0.17921055189459195
69,3,0.0011057077305749391,0.1842646991006777
18,2,0.0013542501951822924,0.21974491324984252
183,4,0.0015167356230135973,0.23279313458681447
176,4,0.001540510701487245,0.23279313458681447
170,4,0.0015479271031559186,0.23279313458681447
88,3,0.0016271145547005626,0.2380439131840501
23,2,0.0016904683563706074,0.2380439131840501
22,2,0.001705415892895159,0.2380439131840501
765,8,0.001760483114103968,0.2380439131840501
176,4,0.0017758709060114021,0.2380439131840501
24,2,0.001978146440663404,0.2526071857575089
468,6,0.001997785569980439,0.2526071857575089
605,7,0.0020074200619717704,0.2526071857575089
186,4,0.0022489383263390333,0.2755256421826306
26,2,0.0022789178967424846,0.2755256421826306
25,2,0.0024982412336123218,0.2962337585856457
25,2,0.002590276573684199,0.3013517991195617
27,2,0.002776143683575177,0.31699448060971375
27,2,0.0028323561573224496,0.3175328739281859
99,3,0.0030953601661146634,0.3403665974389377
29,2,0.003176264242581348,0.3403665974389377
113,3,0.003235420528105327,0.3403665974389377
102,3,0.003319392915589831,0.3403665974389377
697,7,0.0033548456933728404,0.3403665974389377
29,2,0.003367265188939844,0.3403665974389377
105,3,0.003422434161727885,0.3403665974389377
216,4,0.0036548223294071472,0.3577084838591186
221,4,0.004002666161456937,0.3741964215793423
1080,9,0.004021571964750999,0.3741964215793423
531,6,0.004029232136530861,0.3741964215793423
1330,10,0.004122229700168574,0.3741964215793423
361,5,0.004126720186084216,0.3741964215793423
35,2,0.004201866573990055,0.374517008277701
228,4,0.004251733794913894,0.374517008277701
118,3,0.004328155380613417,0.3755598675326658
34,2,0.004432528432452226,0.3755598675326658
118,3,0.004521926682646839,0.3755598675326658
36,2,0.004534971454455773,0.3755598675326658
1208,9,0.004568113860679522,0.3755598675326658
736,7,0.004637592706932829,0.3762552188282609
37,2,0.004825962780831897,0.38645307151440883
387,5,0.005238209158601899,0.40604830756891597
39,2,0.0052631664320730714,0.40604830756891597
120,3,0.005268223257462419,0.40604830756891597
1379,10,0.005351745435721157,0.40662878442883355
125,3,0.005407648446831715,0.40662878442883355
558,6,0.005521087167046835,0.41002308001899346
259,4,0.005610347426570687,0.41002308001899346
38,2,0.0056522805386984174,0.41002308001899346
948,8,0.006044596009776795,0.43338347670097344
582,6,0.006266558267965395,0.444133313566375
41,2,0.006467259702190081,0.4480575654348768
41,2,0.006467259702190081,0.4480575654348768
42,2,0.006625260326267878,0.4514359283614994
404,5,0.006662450451004938,0.4514359283614994
254,4,0.006752991838146956,0.45259725732624057
136,3,0.006994440336107429,0.46373891518750976
1447,10,0.007882914012706648,0.5118592927166836
272,4,0.007886252482660549,0.5118592927166836
149,3,0.00828405976629625,0.527456814253449
50,2,0.008297650175573233,0.527456814253449
1467,10,0.008409264855988486,0.5290972153267858
48,2,0.008540972312809685,0.5319559119271163
826,7,0.008748952962819672,0.5394604396874609
