N,DE,P.DE,FDR
296,13,8.99520302845667e-10,4.656930015102414e-6
1343,25,1.5105189799229368e-9,4.656930015102414e-6
57,7,3.5953658732204658e-9,7.389675324759131e-6
57,7,8.652517058185265e-9,1.3337855045192586e-5
100,8,1.7355156632370425e-8,2.140237915903921e-5
72,7,3.405480068053885e-8,3.305545641317169e-5
48,6,4.063907591473813e-8,3.305545641317169e-5
113,8,4.2887390740410886e-8,3.305545641317169e-5
1452,23,1.4147333488274405e-7,9.692495365411108e-5
219,9,5.441534458316581e-7,3.3552501469980044e-4
41,5,7.03486354663686e-7,3.9433607844148065e-4
162,8,7.895003385091951e-7,4.0567159060397477e-4
271,9,3.460202600418525e-6,0.0016412007103215865
162,7,8.354890202392034e-6,0.0036797323562820917
35,4,1.158945745104848e-5,0.004764039642877662
1113,17,1.2934610758765408e-5,0.004984675621159219
75,5,1.6083410979640024e-5,0.005833547770615317
120,6,1.865089279025908e-5,0.006388966941374304
1949,23,2.15935556028663e-5,0.0070076770445933485
926,15,2.3309973918139518e-5,0.007021570224375989
413,10,2.3913878480683715e-5,0.007021570224375989
265,8,3.0077069197263076e-5,0.00842978221228746
14,3,3.269133890638299e-5,0.008764121552032935
351,9,3.607688551748824e-5,0.00926875317086802
452,10,4.459284741130061e-5,0.01067521455639999
771,13,4.887146873436686e-5,0.01067521455639999
88,5,4.9742790237619996e-5,0.01067521455639999
464,10,4.9774074288681965e-5,0.01067521455639999
871,14,5.066458338846418e-5,0.01067521455639999
364,9,5.1939091257216944e-5,0.01067521455639999
49,4,6.129747791377136e-5,0.012192266090848846
294,8,6.670473162365297e-5,0.012637772321638324
99,5,6.93960224057678e-5,0.012637772321638324
149,6,6.968606210439556e-5,0.012637772321638324
1066,15,8.536992697500813e-5,0.015039741992225719
1208,16,1.0205683317176883e-4,0.01748006759269796
834,13,1.1932834297747203e-4,0.019362593757870857
834,13,1.1932834297747203e-4,0.019362593757870857
420,9,1.2369225282973068e-4,0.019556062332003063
1330,17,1.31021575104267e-4,0.020196975802322756
170,6,1.3511830093106646e-4,0.020320474232706238
258,7,1.4030586293864276e-4,0.020591606195702106
109,5,1.436002378227685e-4,0.020591606195702106
117,5,1.6050978540603527e-4,0.02249325765485485
180,6,1.7114571825996327e-4,0.02345076663979852
115,5,1.8383727493494992e-4,0.0243878688644685
343,8,1.8589520542167036e-4,0.0243878688644685
259,7,1.933573269879505e-4,0.024838359962660476
1273,16,2.3240369460315337e-4,0.028713451269896113
125,5,2.32836938614143e-4,0.028713451269896113
894,13,2.606956576510353e-4,0.03126980641033344
454,9,0.00026370903881565663,0.03126980641033344
468,9,3.2023248783235583e-4,0.03725572679196804
575,10,3.331517305230779e-4,0.03804099204454257
38,3,5.032217150819266e-4,0.05623012521271716
81,4,5.186782778356224e-4,0.05623012521271716
606,10,5.264738544583041e-4,0.05623012521271716
304,7,5.300306275600969e-4,0.05623012521271716
515,9,5.462848145234441e-4,0.05623012521271716
1494,17,5.559040868810281e-4,0.05623012521271716
1514,17,5.56282458315885e-4,0.05623012521271716
86,4,6.025392757743248e-4,0.059923502813298175
406,8,6.563229950269855e-4,0.06423631091010147
765,11,7.844812002589915e-4,0.07513004493665346
1847,19,7.968590685843962e-4,0.07513004493665346
236,6,8.133509235686133e-4,0.07513004493665346
238,6,8.16366041316215e-4,0.07513004493665346
93,4,8.552807973247534e-4,0.07755384406330043
658,10,9.851354712021266e-4,0.0863877685808032
539,9,9.89586802317085e-4,0.0863877685808032
96,4,9.94734279798415e-4,0.0863877685808032
659,10,0.0011273055025139405,0.0965411906736244
1467,16,0.0012277647673031708,0.10370407609851166
929,12,0.0012486087497742364,0.10403948042037758
12,2,0.001338667910797769,0.11005635117305392
697,10,0.001408947436043552,0.11431013014005977
188,5,0.0017238544465238723,0.13804268204241815
13,2,0.0017853665099899132,0.14006252872639569
718,10,0.0018009627969319201,0.14006252872639569
384,7,0.0018172238563268983,0.14006252872639569
14,2,0.0018526600679754956,0.14089004174238115
714,10,0.0018749500275078426,0.14089004174238115
1644,17,0.0018965088330550818,0.14089004174238115
15,2,0.0019501616764192856,0.14242412702025123
16,2,0.00196335562710369,0.14242412702025123
15,2,0.00202806158421288,0.14540729916577463
122,4,0.002122463078151719,0.14857577616094203
287,6,0.002124195540568255,0.14857577616094203
13,2,0.002144541692884178,0.14857577616094203
1134,13,0.002225346780015876,0.152460980506421
199,5,0.002297152321238423,0.15565100233797927
14,2,0.002333648238566902,0.15640516346742955
496,8,0.0024216799682770457,0.16055998585372325
1141,13,0.0025130449142315263,0.16484505256544246
15,2,0.0026589194138299534,0.17257786427026833
759,10,0.0027801225184960533,0.1785649525942361
1447,15,0.0028149163909727947,0.17893581924472426
891,11,0.002844461517505641,0.17896887466265085
1797,17,0.002962934531284241,0.18453994262523868
19,2,0.0029955377560341692,0.18470485803706688
