N,DE,P.DE,FDR
55,6,2.2230965610984319e-7,1.498367082180343e-4
21,4,2.032057302072167e-6,6.848033107983203e-4
184,7,2.2387896588178505e-5,0.004171556326085799
183,7,2.4757010837304446e-5,0.004171556326085799
55,4,1.2205314183825473e-4,0.01645276351979674
298,7,5.435392021131318e-4,0.05602218604177665
399,8,6.16112153234698e-4,0.05602218604177665
137,5,6.649517631071413e-4,0.05602218604177665
15,2,0.0026121860592690947,0.19562371154970776
427,7,0.004584328561169172,0.2996068704318673
79,3,0.005145508467780811,0.2996068704318673
69,3,0.00533424695130921,0.2996068704318673
118,3,0.015828621808387414,0.8206531614502398
47,2,0.019856930787273654,0.9559693821873174
50,2,0.0273851958517239,1
10,1,0.04276437210392067,1
10,1,0.045579424238860265,1
69,2,0.04678920487315456,1
10,1,0.047419026852125394,1
10,1,0.047512996594695725,1
902,8,0.04792872124002642,1
10,1,0.048367697871692435,1
12,1,0.0491611938042011,1
77,2,0.05046899219646843,1
11,1,0.051238639446894066,1
11,1,0.052326400622991764,1
11,1,0.05407495205206015,1
13,1,0.0563379755062384,1
14,1,0.06043467609579654,1
13,1,0.06346740793086768,1
14,1,0.0645070021914115,1
17,1,0.07561158342131055,1
18,1,0.07639098616938,1
18,1,0.07732283601208727,1
21,1,0.08924812602022972,1
18,1,0.09047484769376968,1
23,1,0.09919651931340273,1
118,2,0.10181210218223093,1
240,3,0.10365231540754316,1
25,1,0.11398212051875296,1
27,1,0.11936187023004996,1
30,1,0.12714546870710294,1
29,1,0.13051436430416127,1
33,1,0.1345501659383083,1
33,1,0.1360290183585506,1
31,1,0.1413521831503355,1
34,1,0.14654447044288665,1
39,1,0.15159301632795183,1
38,1,0.1527752335904557,1
39,1,0.16113537964669045,1
37,1,0.16418131925422186,1
43,1,0.17069006427878217,1
180,2,0.20107056961847486,1
47,1,0.20237357119830435,1
53,1,0.20510633791862792,1
49,1,0.20944092871489367,1
51,1,0.21995484897459475,1
58,1,0.22354494195166155,1
62,1,0.22531131007640484,1
58,1,0.22691883400983864,1
56,1,0.230017377405895,1
193,2,0.23213061158093345,1
201,2,0.23705465835058503,1
64,1,0.24099990705968818,1
65,1,0.2480482317358636,1
72,1,0.26795524747500477,1
792,5,0.26811130016539997,1
67,1,0.272680605905118,1
70,1,0.28129069191253675,1
72,1,0.28960890615924434,1
409,3,0.29304429029503,1
75,1,0.30289074072162125,1
79,1,0.3032390132410418,1
81,1,0.30554764740525103,1
81,1,0.3059854480839378,1
81,1,0.3219143268191852,1
87,1,0.32195989350802445,1
87,1,0.3272731683202668,1
87,1,0.3355294921073292,1
89,1,0.3429586751523716,1
93,1,0.3518474466289252,1
91,1,0.3539095440208372,1
104,1,0.3804608095666618,1
108,1,0.4107678018002659,1
120,1,0.4131965792997326,1
117,1,0.4171262968549035,1
114,1,0.41752306931954447,1
127,1,0.42543387825072704,1
343,2,0.48377780283416905,1
144,1,0.4838220025196744,1
154,1,0.48927637080756264,1
387,2,0.513946221229309,1
168,1,0.5403048396935036,1
184,1,0.5615758469984893,1
195,1,0.5979545862555489,1
212,1,0.6213429855848506,1
471,2,0.6468698288202597,1
242,1,0.6550888784983997,1
236,1,0.6803215411849484,1
269,1,0.6886966350405167,1
