Pathway,NGenes,Direction,PValue,FDR
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,5.7246207867342196e-39,3.858394410258864e-36
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,4.3160959936333814e-38,1.4545243498544494e-35
REACTOME_PD1_SIGNALING,17,Up,8.850847025121986e-30,1.9884902983107396e-27
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,1.1974639262214967e-20,2.017726715683222e-18
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,4.0966433344700555e-15,5.522275214865635e-13
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,5.069238505809942e-14,5.694444588193168e-12
REACTOME_TCR_SIGNALING,48,Up,1.079942519444131e-10,1.0398303687219205e-8
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,18,Up,7.143518719049733e-8,5.484076171591798e-6
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Up,7.322950377496467e-8,5.484076171591798e-6
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Up,1.2813152466228026e-7,8.63606476223769e-6
REACTOME_AMYLOIDS,15,Up,3.707431436417529e-7,2.2716443528594678e-5
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Up,1.1707045223165905e-5,6.575457067011516e-4
REACTOME_INTERFERON_SIGNALING,137,Up,1.617465826456923e-4,0.0083859382079382
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,13,Up,3.8948556175901107e-4,0.01874847756114145
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Up,4.172509842984002e-4,0.01874847756114145
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Up,4.864028879748393e-4,0.020489721655940107
REACTOME_RECYCLING_PATHWAY_OF_L1,16,Up,0.0014404132750352764,0.05710814984551626
REACTOME_P2Y_RECEPTORS,8,Up,0.0015544389408043157,0.05820510256122827
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,39,Up,0.001766109947169291,0.06265042654695274
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,17,Up,0.0018815854231420046,0.06340942875988556
