"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"S100A9","S100A9","6280",6.48098847372532,-0.0991881756528451,59.3741225655004,0,0
"AQP3","AQP3","360",3.48037614750274,-0.559060032984284,31.4282985533133,5.52943440645421e-201,6.80588307212876e-198
"S100A2","S100A2","6273",2.54517867126272,-0.925550966757066,21.1977519454422,1.71352389746804e-96,1.09672383533544e-93
"S100A8","S100A8","6279",1.93143367733543,-0.929516235974153,19.0022585235664,1.65316770824826e-78,8.26635515615011e-76
"SLPI","SLPI","6590",2.23745182056056,-0.438037146556434,17.0716869394442,3.95257666827328e-64,1.37489520150088e-61
"KRT17","KRT17","3872",2.02718894745636,-1.0539354093481,16.9033732860677,6.09686693254847e-63,1.95111935575416e-60
"KRT6A","KRT6A","3853",1.28155276358276,-1.27492497619949,11.4883623996505,1.5727991529243e-30,1.83696052890086e-28
"PERP","PERP","64065",1.50887825788894,-0.867925754508163,11.3919992740001,4.66268857870588e-30,5.29132481899808e-28
"KRT18","KRT18","3875",1.3889407274985,-0.856587404236455,9.45758695254644,2.21639869031299e-21,1.75567304176724e-19
"CD55","CD55","1604",1.37922228523209,-0.506932446810765,9.15912035439582,3.53402397790375e-20,2.65483181551352e-18
"KRT7","KRT7","3855",1.31619370403228,-1.03468842954141,9.11497668253015,5.2848177227765e-20,3.8968833355828e-18
"S100A11","S100A11","6282",1.38801432374868,2.32440283431802,6.89351467537411,3.00354579063078e-12,1.42188568626873e-10
"PITX1","PITX1","5307",0.990973545368108,-1.22316217209453,6.70928434637025,1.0686054421334e-11,4.85248900689712e-10
"S100A14","S100A14","57402",0.917441055034922,-1.26614637848234,5.7838147425459,3.83753177822858e-09,1.45853553404835e-07
"S100P","S100P","6286",0.964744915798438,-1.09806833989504,5.26180702419288,7.38264423504349e-08,2.51875672505183e-06
"S100A16","S100A16","140576",0.927317634541388,-1.20756848064686,5.18977496548327,1.08774352256929e-07,3.64884362780528e-06
"GAPDH","GAPDH","2597",1.15878600089429,2.36694143813557,4.80710258095426,7.8454380584564e-07,2.44231234189418e-05
"S100A4","S100A4","6275",1.13173530654778,1.41763906035888,4.7169016022596,1.22474273131819e-06,3.74169410857859e-05
"RARRES1","RARRES1","5918",0.882627781867827,-1.2144756926338,4.63162766807398,1.85272699411493e-06,5.56200462154465e-05
"FABP5","FABP5","2171",0.955141894852095,-0.247414134307245,3.6827581159248,1.16388071724663e-04,0.00296077191679862
