Pathway,NGenes,Direction,PValue,FDR
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,8.516781187820835e-71,5.740310520591243e-68
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,1.5599551900952564e-60,5.2570489906210145e-58
REACTOME_PD1_SIGNALING,17,Down,9.889010057566863e-53,2.2217309262666883e-50
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,11,Up,2.8802682118823718e-40,4.853251937021796e-38
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,2.6321628094690413e-37,3.548155467164268e-35
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,1.36523383440815e-23,1.5336126739851549e-21
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,13,Up,1.6760598708783472e-22,1.6138062185314373e-20
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS,12,Up,8.258687353834537e-21,6.957944095605597e-19
REACTOME_TCR_SIGNALING,48,Down,4.689216708030791e-16,3.511702290236392e-14
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,6.021222401931713e-13,4.0583038989019746e-11
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,31,Up,2.010015959964496e-12,1.2315915972873366e-10
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,10,Up,1.069489017646598e-8,6.006963315781725e-7
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Up,6.716291135267663e-8,3.4821386347464654e-6
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,109,Up,9.712019630487815e-6,4.6756437363919913e-4
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,75,Up,3.88215246955446e-5,0.0017443805096531372
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,126,Up,8.068227238592164e-5,0.003398740724256949
REACTOME_SEMAPHORIN_INTERACTIONS,60,Up,1.8683656440533335e-4,0.007407520259364394
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,25,Up,8.145374961028806e-4,0.030499904020741195
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,109,Up,0.0027395368047458952,0.09718146349467018
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,168,Up,0.004700493239429315,0.15840662216876794
