"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"LYZ","LYZ","4069",1.45899672817995,0.315613797685737,7.9034060671246,1.58514714193411e-15,1.26819697090438e-11
"HLA-DRA","HLA-DRA","3122",1.48844580349571,0.619664581889389,7.70053518556241,7.79590666035949e-15,4.15807674908041e-11
"FTL","FTL","2512",1.09100758292575,2.93616520418024,6.54271685432594,3.25316236089559e-11,8.67564182278173e-08
"CST3","CST3","1471",1.07570701353347,-0.615859591640536,5.64280058671777,8.72161239125831e-09,1.39554519872524e-05
"CD74","CD74","972",1.18275730021348,0.580953790188745,5.07958906790533,1.94453103245201e-07,2.39341854232805e-04
"HLA-DRB1","HLA-DRB1","3123",1.0352760598688,0.27229385490804,3.93571387093961,4.19121233478828e-05,0.0335317942844737
"TYROBP","TYROBP","7305",0.883153411077072,-0.60297255601783,3.57597116795417,1.75746174759306e-04,0.127823388287439
"HLA-DPA1","HLA-DPA1","3113",0.929345805193137,-0.0730510543781178,3.2656321803237,5.48959166412731e-04,0.351355824870804
"FTH1","FTH1","2495",0.811719767864251,2.86375276615682,2.90989436112982,0.00181395281776745,0.907033094909278
"APOC1","APOC1","341",0.862920453973209,-0.27847768637555,2.7390638729856,0.00308920687235017,1
"S100A9","S100A9","6280",0.738960621803874,-0.972314705630196,2.64239859244396,0.00412602417690331,1
"HLA-DPB1","HLA-DPB1","3115",0.830230827309448,-0.115537824720252,2.35375259573683,0.00930744676237538,1
"HLA-DQB1","HLA-DQB1","3119",0.765476232071928,-0.705451669828579,2.2173102499537,0.013318360197911,1
"GRN","GRN","2896",0.724953321388212,-0.689945206723943,1.7109410871531,0.0435701007706492,1
"ALDH2","ALDH2","217",0.695746356973623,-0.892338944407076,1.69653226961402,0.0449167532405827,1
"HLA-DQA1","HLA-DQA1","3117",0.69849930301901,-0.868295226060036,1.68153397943788,0.0463538921012994,1
"C1QB","C1QB","713",0.64489460278388,-0.699776370801636,0.733459834916786,0.231652372766371,1
