Pathway,NGenes,Direction,PValue,FDR
REACTOME_UNWINDING_OF_DNA,11,Up,1.465704e-317,9.878845217e-315
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,16,Up,6.795678097501994e-258,2.290143518858172e-255
REACTOME_DNA_STRAND_ELONGATION,29,Up,1.0749599467225527e-235,2.415076680303335e-233
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,28,Up,5.501325321319433e-221,9.269733166423244e-219
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,31,Up,9.136556731901557e-156,1.23160784746033e-153
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,35,Up,2.6496996176500094e-141,2.976495903826844e-139
REACTOME_G2_M_CHECKPOINTS,41,Up,1.0089982484138636e-133,9.715211706156345e-132
REACTOME_G1_S_TRANSITION,100,Up,6.590552641096693e-106,5.552540600123964e-104
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX,11,Up,7.77010173661691e-89,5.818942856088664e-87
REACTOME_M_G1_TRANSITION,73,Up,4.120531196407373e-88,2.7772380263785696e-86
REACTOME_MITOTIC_G1_G1_S_PHASES,124,Up,3.065838386277314e-82,1.8785227930462815e-80
REACTOME_SYNTHESIS_OF_DNA,86,Up,6.706425797797978e-81,3.7667758230965307e-79
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,60,Up,2.633222139596768e-76,1.3652244016063244e-74
REACTOME_DNA_REPLICATION,177,Up,3.5773996867712173e-71,1.7222624206312863e-69
REACTOME_S_PHASE,102,Up,2.0654279293907077e-69,9.280656162728912e-68
REACTOME_MITOTIC_M_M_G1_PHASES,157,Up,1.2728708569485784e-58,5.361968484895887e-57
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,11,Up,2.1480781585779848e-54,8.516498111068011e-53
REACTOME_G0_AND_EARLY_G1,23,Up,1.020008109907371e-50,3.819363700430933e-49
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,14,Up,8.421689213523199e-49,2.987483436797177e-47
REACTOME_CELL_CYCLE_MITOTIC,292,Up,2.320549541068598e-48,7.820251953401175e-47
