"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"FCGR2B","FCGR2B","2213",3.02819872552311,-0.823006983985272,51.7255492020893,0,0
"SLC40A1","SLC40A1","30061",3.12770331420997,-0.957051207853889,91.2371934718322,0,0
"STAB1","STAB1","23166",2.55778510340273,-0.976689116057231,80.983665919293,0,0
"SELENOP","SELENOP","6414",2.19490307603307,-1.0012258274267,87.466363765414,0,0
"F13A1","F13A1","2162",2.73975600400597,-0.987269550926211,99.3706032247526,0,0
"MARCKS","MARCKS","4082",4.11188443680766,-0.528998927217991,51.3709401761236,0,0
"GAL3ST4","GAL3ST4","79690",1.77374181123308,-0.994901402128688,66.65093171711,0,0
"MAMDC2","MAMDC2","256691",1.86259602782437,-1.0019013243993,78.2369017032624,0,0
"FOLR2","FOLR2","2350",3.54769409774566,-0.769767615498111,60.8150092058263,0,0
"RNASE1","RNASE1","6035",3.79696294056906,-0.925585266031506,72.5450363302299,0,0
"LGMN","LGMN","5641",3.94105134182436,-0.180502435935369,41.0784799143082,0,0
"CCL13","CCL13","6357",4.41787647064581,-0.970453321869844,146.869644742839,0,0
"LILRB5","LILRB5","10990",1.7552552900896,-0.975972774017129,52.2737140546408,0,0
"GAS6","GAS6","2621",1.81047400433187,-0.927037080705143,38.0729638847537,2.77590812013676e-310,2.54371157032296e-307
"GPR183","GPR183","1880",1.99438270566916,-0.908824239427434,35.523902320464,3.11122616026821e-271,2.69259339581434e-268
"CMKLR1","CMKLR1","1240",1.47119757158909,-0.967067543537095,34.3800748529295,1.61060361071231e-254,1.25449915238382e-251
"CCL2","CCL2","6347",2.66778304689554,-0.846426653389497,34.143620379248,3.97312554259721e-251,2.94730236678949e-248
"CLEC10A","CLEC10A","10462",1.82343228263275,-0.917362620363194,33.9747297538625,1.02035144446788e-248,7.22501581905481e-246
"EMB","EMB","133418",1.72859588610585,-0.921457256627891,33.5142007359966,3.33425061257772e-242,2.25830243664068e-239
"ANTXR2","ANTXR2","118429",1.58245148124986,-0.944326300493839,33.4944123626832,6.32499171775575e-242,4.10544670746663e-239
"FPR3","FPR3","2359",3.04326587551363,-0.339349883169879,33.0889107456379,2.92071427373487e-236,1.81995547824967e-233
"RNASE6","RNASE6","6039",2.42455853702484,-0.684388408130275,31.6021258561041,4.83236817869613e-216,2.78809746250846e-213
"ZFP36L1","ZFP36L1","677",3.24708732309454,0.0157097733154909,29.9787256756874,5.83764795518216e-195,3.13582344295958e-192
"TMEM176B","TMEM176B","28959",2.84281411462785,-0.243148257291536,27.8729536792728,3.54961319582442e-169,1.78373788272751e-166
"EMP1","EMP1","2012",1.92863160346984,-0.802834343218391,26.9469223440585,2.11583502043792e-158,9.69425822011232e-156
"MAFB","MAFB","9935",3.12614441470537,0.123699697137584,26.2042174508741,5.21468215821838e-150,2.25650885168683e-147
"ARL4C","ARL4C","10123",1.98535229149582,-0.765010023223148,26.1292178513055,3.56627769625608e-149,1.50149929600749e-146
"RASSF2","RASSF2","9770",1.51719857738898,-0.892814428495877,25.1840941071481,7.56098599455603e-139,3.02012922623574e-136
"MEF2C","MEF2C","4208",1.6762888015866,-0.815201903412896,23.6667178838064,4.95463219386819e-123,1.79495954223439e-120
"MS4A6A","MS4A6A","64231",2.88394133249206,1.89928102544207,23.3273682804203,1.26803579771945e-119,4.48942310383492e-117
"TMEM176A","TMEM176A","55365",2.14384275281797,-0.506029254166906,22.7042865507763,1.72772182597284e-113,5.98098902333443e-111
"SERPINF1","SERPINF1","5176",1.42241901369301,-0.903169131749812,22.4507204170725,4.87617813949956e-111,1.65132832732879e-108
"MAF","MAF","4094",2.27163897734118,-0.29367046096193,22.2011423148062,1.18640138795968e-108,3.93228953651827e-106
"MERTK","MERTK","10461",0.985014772909426,-0.998245393177487,22.1409054405408,4.4288105644436e-108,1.43733356193547e-105
"A2M","A2M","2",1.7338243409137,-0.699411058058761,20.3352237974756,1.24933784918573e-91,3.6721103801161e-89
"RGS1","RGS1","5996",1.72843679869489,-0.719342664780487,19.0986619248571,3.80212120895225e-81,1.02119731367342e-78
"LTC4S","LTC4S","4056",1.07451929227782,-0.97101263733328,18.9896567093904,2.97535488928276e-80,7.85594550258421e-78
"FGL2","FGL2","10875",2.18622962501112,-0.0167164599303887,18.9502513557969,6.24195757003487e-80,1.62062025043339e-77
"CRIP2","CRIP2","1397",1.24299558808221,-0.93468464606878,18.780532562715,1.49215190670494e-78,3.74915200042735e-76
"PLXNC1","PLXNC1","10154",1.21337560665704,-0.918206220376855,18.5607770848808,8.72581677557825e-77,2.15763132904695e-74
"CORO1A","CORO1A","11151",1.87823108495169,-0.446991629723456,18.4152542972338,1.25830554854006e-75,3.0627943492433e-73
"CPM","CPM","1368",2.33444569184985,0.929604696030808,18.3251896564321,6.4958982733143e-75,1.55681697387216e-72
"LPAR6","LPAR6","10161",1.49682594194722,-0.734415827391672,17.8211656063243,5.48494981579055e-71,1.27529176463262e-68
"ST8SIA4","ST8SIA4","7903",1.12750750454481,-0.933025784865129,17.4759882702522,2.32661318198534e-68,5.2527507462272e-66
"PLTP","PLTP","5360",1.76399062767478,-0.558416687533189,17.4374145947203,4.5419771298679e-68,1.01078456755832e-65
"PMP22","PMP22","5376",2.00235307809165,-0.150424270605615,17.1033665952912,1.4027907008403e-65,2.91368980502537e-63
"MMP14","MMP14","4323",1.69022943071647,-0.527230630425591,16.8618640516077,8.27452850459098e-64,1.69606059269103e-61
"EPHB2","EPHB2","2048",0.879061942714712,-0.995478731592504,16.7288699714699,7.62787859542809e-63,1.54320899687765e-60
"TGFBI","TGFBI","7045",1.97832381720227,1.96989451171392,16.7085806586215,1.06884742159445e-62,2.13468014533313e-60
"AP2A2","AP2A2","161",1.77947476067827,-0.249530295047315,16.1359310189844,1.23755620834153e-58,2.35105495287127e-56
"CD84","CD84","8832",1.89114773855907,-0.0214945561001159,15.5778124795203,8.3176985795821e-55,1.52438951144388e-52
"CSF1R","CSF1R","1436",1.98122504880479,0.554598465166502,15.5626213230419,1.05279008652811e-54,1.90701906603894e-52
"IFITM3","IFITM3","10410",2.13078002527205,1.35098728783293,14.8924635001669,2.75390711123939e-50,4.87504147487355e-48
"P2RY6","P2RY6","5031",0.925405410583635,-0.977686045339762,14.7632477912922,1.86158470276775e-49,3.18678752744132e-47
"LHFPL2","LHFPL2","10184",1.7280202649743,-0.168822008112406,14.4243903216326,2.58669232800196e-47,4.37994490061027e-45
"IER3","IER3","8870",1.93163311008636,-0.0657186043550969,14.3202029759293,1.15300019997298e-46,1.9313373242128e-44
"CTSZ","CTSZ","1522",1.36695369385546,4.57057056412661,14.114790888765,2.12848049363807e-45,3.41829578658699e-43
"SPRED1","SPRED1","161742",1.74924537444289,-0.134168389550296,14.0849970506587,3.2377675835622e-45,5.14672892007469e-43
"PLEKHO1","PLEKHO1","51177",1.74773643433031,-0.144518546676986,13.9427761592585,2.36961503594916e-44,3.6913863030016e-42
"LIMD2","LIMD2","80774",1.09100826340222,-0.877818339624039,13.1813738876938,7.18855766781504e-40,1.06650810808783e-37
"ICAM1","ICAM1","3383",1.50284343503621,-0.456938482682042,13.1072315492169,1.90516129127414e-39,2.79986816938382e-37
"TNS1","TNS1","7145",1.06312502369375,-0.893403948166355,13.0411509111257,4.52094163448274e-39,6.58198399831515e-37
"TCF4","TCF4","6925",1.22291733357025,-0.783513732675557,12.9598579177622,1.30130418433465e-38,1.85979051225368e-36
"AHR","AHR","196",1.72107816584448,0.234287208886414,12.8468865040693,5.59487460880509e-38,7.85197807711402e-36
"HOMER3","HOMER3","9454",1.14976078687739,-0.827601525661062,12.8048361126518,9.59787654180783e-38,1.33496179257395e-35
"IGFBP4","IGFBP4","3487",0.738449276584021,-1.01288233289352,12.6651210504514,5.69558633312473e-37,7.85184459269178e-35
"LPAR5","LPAR5","57121",0.911211403763193,-0.956233673677477,12.5175330899726,3.65991575093272e-36,4.91501444551982e-34
"BMP2K","BMP2K","55589",1.62707445941962,0.110436506745734,12.2947688993141,5.82643682853941e-35,7.62724646344428e-33
"C3AR1","C3AR1","719",1.73995968380004,0.647088398482097,12.2310069683224,1.27511450155805e-34,1.65531114210594e-32
"ADAP2","ADAP2","55803",1.6535482434993,0.356151390258898,12.2223074032955,1.41848289218542e-34,1.82620880119541e-32
"CCR6","CCR6","1235",0.792240029186734,-1.00031530581232,11.9860131171859,2.49124553832241e-33,3.10468983967891e-31
"FYB1","FYB1","2533",1.71633414032983,0.68559702124165,11.9816415206805,2.62553954519592e-33,3.24608373294143e-31
"TPCN1","TPCN1","53373",0.812053699581593,-0.99121136730244,11.6377050289505,1.5406110965233e-31,1.86043718307287e-29
"FRMD4B","FRMD4B","23150",1.44041372115968,-0.257960468998019,11.450037952338,1.35340174244074e-30,1.60941162929327e-28
"GIMAP7","GIMAP7","168537",1.16491415386981,-0.73384808836762,11.1543052478349,3.87413188248297e-29,4.40519901206713e-27
"IGSF21","IGSF21","84966",0.67198335740533,-1.01900574396834,11.1520553898452,3.9729606797812e-29,4.48483923692982e-27
"CD14","CD14","929",1.76113700438648,2.04472696169943,11.1327106640554,4.93274297134815e-29,5.52822086386054e-27
"CCR1","CCR1","1230",1.52815489810898,0.0523316243569323,10.9642144085104,3.19804320365913e-28,3.55850835904299e-26
"SGK1","SGK1","6446",1.5475962689274,-0.0201137205755049,10.7662004121334,2.77614823646876e-27,3.02425435158814e-25
"CAMK1","CAMK1","8536",1.04118577262541,-0.835679883545226,10.7111458712369,5.02836651365426e-27,5.4397148298407e-25
"NPC2","NPC2","10577",1.24210943296764,3.4468948931361,10.6870742047254,6.51359302632379e-27,6.94991453178575e-25
"CREB5","CREB5","9586",1.16892971602664,-0.67717177430279,10.3141415233206,3.33859120492452e-25,3.44427640995459e-23
"ANKH","ANKH","56172",1.07793228160489,-0.77219187008429,10.0483996567197,5.07849532305006e-24,5.13719481444635e-22
"TMEM37","TMEM37","140738",0.771141233753574,-0.990481580825567,10.0221655065286,6.61924081040235e-24,6.61833825720224e-22
"CYBRD1","CYBRD1","79901",0.810491604310486,-0.977604467582221,10.0220391184294,6.627684992448e-24,6.61833825720224e-22
"DAB2","DAB2","1601",1.39169329562358,2.41534519460377,9.97242128507177,1.09194456038937e-23,1.08345938609845e-21
"SLC46A1","SLC46A1","113235",0.875849805319158,-0.934921424279279,9.96645268962296,1.159347811203e-23,1.14305824069116e-21
"ALCAM","ALCAM","214",1.46360956559105,0.216084518979905,9.92373424410925,1.77808368917659e-23,1.74207469874169e-21
"TRPS1","TRPS1","7227",1.24512715728616,-0.51223163619238,9.90641045014041,2.11375167793129e-23,2.05800147742585e-21
"AP1B1","AP1B1","162",1.38720040537859,0.0474443031011996,9.78908939111218,6.7654606020698e-23,6.54610840118282e-21
"IFITM2","IFITM2","10581",1.42428454740785,0.103610009456081,9.74129235477084,1.082566211452e-22,1.04100101493822e-20
"DAAM1","DAAM1","23002",1.21442122196437,-0.507974642268253,9.58155412452405,5.12494163138126e-22,4.86806955693032e-20
"KLF6","KLF6","1316",1.5192275421564,2.30360881310055,9.40483329978014,2.78001467731287e-21,2.57780170495118e-19
"TRIM47","TRIM47","91107",0.866843341509648,-0.932515847102768,9.31669336915986,6.3876046621261e-21,5.88793523234322e-19
"TREM2","TREM2","54209",1.60814213721997,0.824779097094614,9.27569765422008,9.38111560749108e-21,8.59641287844095e-19
"CCL3","CCL3","6348",1.35759857276581,-0.580288880067295,9.22842010277334,1.45834081468533e-20,1.32853995386948e-18
"IER5L","IER5L","389792",1.17404748881731,-0.561606280838938,9.10446241633908,4.588909056701e-20,4.10839225777519e-18
"CD93","CD93","22918",1.01119693709078,-0.822151132290599,8.92919060791955,2.26195600755128e-19,1.97959273514797e-17
"ENPP2","ENPP2","5168",0.847066351430903,-0.942287476503338,8.87205007893153,3.78014577452649e-19,3.28978273047898e-17
"FCGR2A","FCGR2A","2212",1.29591245310543,2.38912293416044,8.83897687933122,5.0811359866975e-19,4.3731456575013e-17
